"PERGUNTA";"IMAGEM PERGUNTA";"ALTERNATIVAS";"RESPOSTA CORRETA";"IMAGEM RESPOSTA";"CATEGORIA DA PERGUNTA";"SETOR";"RESPONSÁVEL";"DATA_HORA";"ID"
Qual é a função principal das cotas em um desenho técnico mecânico?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Cotas em desenho.JPG;"Adicionar decoração ao desenho.;Indicar as cores a serem usadas na peça.;Especificar as dimensões e medidas da peça.;Fornecer informações sobre o histórico do projeto.";Especificar as dimensões e medidas da peça.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:10:58.000;88
O princípio da Paixão por Aprender enfatiza o desejo de crescimento e desenvolvimento contínuos. O que é enfatizado como atitudes importantes para aprender uns com os outros?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Paixão por aprender.JPG;"Arrogância e conformismo;Humildade e curiosidade;Competição e autossuficiência;Rigidez e resistência à mudança";Humildade e curiosidade;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:14:16.000;89
"Como a mentalidade de ""protagonista e aprendiz"" se relaciona com a capacidade de fazer escolhas?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Protagonista e aprendiz.JPG;"Significa que as escolhas são feitas por outros, não por você.;Reforça a importância de fazer escolhas e ser responsável por elas.;Implica que as escolhas não têm importância na cultura da organização.; Enfatiza que as escolhas são feitas apenas pela liderança.";Reforça a importância de fazer escolhas e ser responsável por elas.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:16:50.000;90
"Como o princípio ""Promover Engajamento"" contribui para o sucesso de equipes e organizações?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Promover engajamento.JPG;"Ao desencorajar a participação ativa dos membros da equipe.;Ao manter uma atmosfera de competição saudável;Ao capacitar e inspirar todos ao redor a trabalhar juntos para alcançar o sucesso coletivamente.;Ao restringir o envolvimento dos membros da equipe.";Ao capacitar e inspirar todos ao redor a trabalhar juntos para alcançar o sucesso coletivamente.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:18:18.000;91
Quais as principais caracteristicas de um implante?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Característica de um implante.JPG;"Ápce, corpo e interface protética. ;Diâmetro, comprimento e largura.;Interna, externa e furo.;Visual, variável e atributo.";Ápce, corpo e interface protética. ;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:26:51.000;92
O que deve-se fazer quando encontrar um produto no chão? ;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Descarte peças.JPG;"Devolver na máquina ;Devolver no gabarito;Descartar na caixa de descarte ;Entregar para o líder ";Descartar na caixa de descarte ;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-11 06:08:36.000;93
Qual é o principal motivo da PROC. 055 da Neodent?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\12\Proc.055.JPG;"Estabelecer diretrizes para marketing e publicidade de produtos odontológicos.;Definir atividades de controle de qualidade relacionadas aos produtos odontológicos da Neodent.;Fornecer informações sobre treinamento de pessoal para clínicas odontológicas.;Especificar os preços de produtos odontológicos da Neodent.";Definir atividades de controle de qualidade relacionadas aos produtos odontológicos da Neodent.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;SEM4_CQ USI;";Edy Junior - u126146;2023-12-07 07:09:44.000;94
O que o PROC. 055 da Neodent visa principalmente regular.;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Proc.055.JPG;"Os requisitos de esterilização de instrumentos odontológicos?;Os procedimentos de higiene bucal recomendados para pacientes.;Os padrões de segurança de procedimentos odontológicos.;As atividades relacionadas ao controle de qualidade de produtos fabricados na Neodent";As atividades relacionadas ao controle de qualidade de produtos fabricados na Neodent;-;TREINAMENTO PADRONIZADO;"SEM4_CQ USI;";Edy Junior - u126146;2023-11-11 05:03:08.000;95
Qual é o objetivo principal do PROC. 007 da Neodent?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\12\PROC.007.JPG;"Definir os requisitos de marketing para os produtos odontológicos.;Estabelecer os preços dos produtos odontológicos da Neodent.;Identificar, analisar, tratar e monitorar não conformidades que surgem durante as atividades de Controle de Qualidade.;Fornecer orientações sobre higiene bucal para os pacientes.";Identificar, analisar, tratar e monitorar não conformidades que surgem durante as atividades de Controle de Qualidade.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;SEM4_CQ USI;";Edy Junior - u126146;2023-12-07 07:09:26.000;96
"O que significa, no contexto de controle de qualidade, quando se diz que o produto está em ""conformidade""?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\PROC.007.JPG;"O produto não atende aos requisitos especificados.;O produto atende os requisitos especificados.;O produto foi submetido a ações corretivas e preventivas.;O produto está em processo de reinspeção.";O produto atende os requisitos especificados.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;";Edy Junior - u126146;2023-11-11 05:10:11.000;97
O que significa Não Conformidade?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\PROC.007.JPG;"Indica que o produto não atende a algum requisito.;O produto precisa ser inspecionado novamente.;O produto passou por revisões recentes.;Quão bem um produto atende aos requisitos.";Indica que o produto não atende a algum requisito.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;";Edy Junior - u126146;2023-11-11 05:10:43.000;98
Como proceder com peças não conformes durante o processo produtivo e inspeções de qualidade?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Fluxograma PROC.007.JPG;"As peças não conformes são posteriormente reprocessadas para corrigir as não conformidades.;As peças não conformes são identificadas e armazenadas em etiquetas vermelhas - ""Rejeitado"".;As peças não conformes são automaticamente descartadas sem identificação.;As peças não conformes são vendidas a fornecedores externos para fins de reciclagem.";"As peças não conformes são identificadas e armazenadas em etiquetas vermelhas - ""Rejeitado"".";-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;";Edy Junior - u126146;2023-11-11 05:12:35.000;99
"Qual o procedimento típico para autorizar o uso de materiais não conformes sob ""Liberação Condicional"", conforme mencionado no documento?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\12\Liberação condicional.JPG;"A autorização é dada automaticamente após a identificação de materiais não conformes.;A ""Liberação Condicional"" é registrada apenas em documentos internos, sem a necessidade de reuniões formais.;A autorização é concedida por meio de uma Ata de Reunião e um formulário específico relacionado à disposição de materiais não conformes.;A ""Liberação Condicional"" é válida apenas para materiais que não são críticos para o processo de produção.";A autorização é concedida por meio de uma Ata de Reunião e um formulário específico relacionado à disposição de materiais não conformes.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;SEM5_CQ USI;";Edy Junior - u126146;2023-12-07 07:08:57.000;100
O que é um processo de retrabalho e qual é o seu propósito principal, de acordo com a descrição fornecida?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Retrabalho proc.007e.JPG;"O retrabalho é o processo de rejeitar materiais não conformes sem tentativa de correção.;O retrabalho visa verificar a conformidade dos materiais sem eliminar as não conformidades.;O retrabalho consiste em corrigir as não conformidades identificadas em um material, sendo reinspecionado para garantir que atenda aos critérios de aceitação.;O retrabalho é um processo de reavaliação da seleção de materiais antes da identificação de não conformidades";O retrabalho consiste em corrigir as não conformidades identificadas em um material, sendo reinspecionado para garantir que atenda aos critérios de aceitação.;-;TREINAMENTO PADRONIZADO;"SEM5_CQ USI;";Edy Junior - u126146;2023-11-11 05:18:17.000;101
"O que a sigla ""CAPA"" representa no contexto de gestão de qualidade?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\12\Capa.JPG;"Controle de Aquisição de Produtos Aleatórios.;Documento de Controle de Qualidade.;Ação Corretiva e Ação Preventiva.;Processo de Verificação de Fornecedores.";Ação Corretiva e Ação Preventiva.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;SEM4_CQ USI;";Edy Junior - u126146;2023-12-07 07:10:08.000;102
Qual o principal propósito de um Histograma?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Histograma.JPG;"Criar listas de tarefas.;Exibir visualmente a distribuição de dados.;Calcular e somar produtos.;Priorizar as seleções de peças.";Exibir visualmente a distribuição de dados.;-;TREINAMENTO PADRONIZADO;"SEM4_CQ USI;";Edy Junior - u126146;2023-11-11 05:23:22.000;103
Qual é o objetivo principal do Diagrama de Pareto?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\12\Diagrama de pareto.JPG;"Mapear o fluxo de trabalho dos operadores.;Identificar e priorizar as principais causas de um problema.;Criar uma lista de atividades do CQ.;Exibir vídeos sobre o CQ.";Identificar e priorizar as principais causas de um problema.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;SEM4_CQ USI;";Edy Junior - u126146;2023-12-07 07:10:37.000;104
Quais são as categorias comuns usadas em um Diagrama de Espinha de Peixe (Ishikawa) para analisar causas de um problema?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Diagrama ISHIKAWA.JPG;"Pessoas, produtos, preços, posicionamento.;Tempo, tarefas, tecnologia, tendências.;Pessoas, processos, materiais, máquinas.;Todos os itens acima.";Pessoas, processos, materiais, máquinas.;-;TREINAMENTO PADRONIZADO;"SEM4_CQ USI;";Edy Junior - u126146;2023-11-11 05:29:01.000;105
Qual é a principal finalidade de um Fluxograma?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Fluxograma.JPG;"Analisar causas de um problema.;Monitorar o desempenho de um processo.;Mapear etapas e fluxo de trabalho de um processo.;Coletar dados para análises.";Mapear etapas e fluxo de trabalho de um processo.;-;TREINAMENTO PADRONIZADO;"SEM5_CQ USI;";Edy Junior - u126146;2023-11-11 05:34:00.000;106
Qual das seguintes opções NÃO é uma das Sete Ferramentas da Qualidade?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Sete ferramentas da qualidade.JPG;"Diagrama de Pareto.;Histograma.;Diagrama de Pizza.;Diagrama de Espinha de Peixe (Ishikawa).";Diagrama de Pizza.;-;TREINAMENTO PADRONIZADO;"SEM6_CQ USI;";Edy Junior - u126146;2023-11-11 05:39:07.000;107
"O que é o ""IT.CQ.055.034 Inspeção de Conformidade de Produtos"" e como se relacionam os ""formulários complementares de inspeção""?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\IT.CQ.055.034.JPG;"É um tipo de ferramenta de qualidade amplamente usado na gestão de processos, enquanto os ""formulários complementares de inspeção"" são documentos usados para registrar medidas de controle.;É um regulamento governamental sobre a conformidade de produtos, e os ""formulários complementares de inspeção"" são um tipo de manual de treinamento.;É um procedimento ou regulamento interno da empresa relacionado à inspeção de conformidade de produtos, e os ""formulários complementares de inspeção"" são documentos que auxiliam na implementação e registro dessa inspeção.;Refere-se a um procedimento de embalagem de produtos, enquanto os ""formulários complementares de inspeção"" são um tipo de plano de marketing.";"É um procedimento ou regulamento interno da empresa relacionado à inspeção de conformidade de produtos, e os ""formulários complementares de inspeção"" são documentos que auxiliam na implementação e registro dessa inspeção.";-;TREINAMENTO PADRONIZADO;"SEM5_CQ USI;";Edy Junior - u126146;2023-11-11 05:42:21.000;108
"O que é a ""interface protética"" de um implante dentário?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Interface protética.JPG;"A parte do implante que se integra ao osso.;A parte superior do implante, visível acima da gengiva.;A extremidade inferior do implante que entra em contato com o osso.;A área que se encontra abaixo da linha da gengiva.";A parte superior do implante, visível acima da gengiva.;-;TREINAMENTO PADRONIZADO;"SEM6_CQ USI;";Edy Junior - u126146;2023-11-11 05:47:39.000;109
Quais são as principais características de um implante dentário?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Características de um implante.JPG;"Raiz, coroa e esmalte.;Corpo, ápice e interface protética.;Câmara pulpar, dentina d cemento.;Interface, osso e nervo.";Corpo, ápice e interface protética.;-;TREINAMENTO PADRONIZADO;"SEM6_CQ USI;";Edy Junior - u126146;2023-11-11 05:46:08.000;110
O que são instrumentais na odontologia?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Instrumentais.JPG;"Equipamentos de proteção pessoal usados por dentistas.;Aparelhos para clareamento dos dentes.;Ferramentas odontológicas e cirúrgicas utilizadas por profissionais para exames, procedimentos e intervenções bucais.;Produtos de higiene bucal.";Ferramentas odontológicas e cirúrgicas utilizadas por profissionais para exames, procedimentos e intervenções bucais.;-;TREINAMENTO PADRONIZADO;"SEM6_CQ USI;";Edy Junior - u126146;2023-11-11 05:51:10.000;111
Qual é uma das práticas essenciais ao lidar com o transporte de peças e equipamentos, conforme descrito?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Transporte de peças LIRS.JPG;"Usar um recipiente vermelho para o transporte seguro.;Identificar prazos de validade apenas em peças, não em equipamentos.;Zelar pelos equipamentos, mas não se preocupar com avarias em peças.;Utilizar um recipeiente verde para transporte de peças, verificar prazos de validade e identificar avarias em peças e equipamentos.";Utilizar um recipeiente verde para transporte de peças, verificar prazos de validade e identificar avarias em peças e equipamentos.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;";Edy Junior - u126146;2023-11-11 05:54:04.000;112
Por que é importante que um profissional utilize um recipiente apropriado para o transporte de peças e equipamentos e verifique prazos de validade e avarias?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Recipiente transportador.JPG;"Para evitar qualquer tipo de transporte de peças e equipamentos.;Para economizar tempo no processo de transporte.;Evitar mistura de peças e garantir a eficácia dos materiais e equipamentos.;Para cumprir normas de trânsito.";Evitar mistura de peças e garantir a eficácia dos materiais e equipamentos.;-;TREINAMENTO PADRONIZADO;"SEM3_CQ USI;";Edy Junior - u126146;2023-11-11 06:01:22.000;113
Onde o layout do grupo de máquinas é exibido para os colaboradores verificarem suas responsabilidades?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 114 - Layout de cores.jpg;"Em um arquivo digital no servidor da empresa;Em um relatório de produção mensal;No departamento de recursos humanos;No Quadro Informativo do CQ Usinagem;Nenhuma das alternativas";No Quadro Informativo do CQ Usinagem;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:34:59.000;114
"Qual é a finalidade do ""FORM.CQ.055.031""?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 115 - Form.CQ.055.031.jpg;"Solicitar a seleção dos lotes em processo produtivo;Acompanhar a inspeção de produtos na usinagem;Inspeção de conformidade de Produtos - Usinagem;Documentar as ações de controle de qualidade;Nenhuma das alternativas";Documentar as ações de controle de qualidade;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:35:27.000;115
"Para qual finalidade é utilizado o ""FORM.CQ.055.030 ""?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 116 - FORM.CQ.055.030.jpg;"Solicitar a seleção de lotes com não conformidades;Acompanhar a inspeção de produtos na usinagem;Documentar as ações do controle de qualidade;Registrar a não conformidade de um produto;Documento necessário para refugar as pelas";Solicitar a seleção de lotes com não conformidades;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:35:58.000;116
"Qual é a função do ""FORM.CQ.055.033 ";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 117 - FORM.CQ.055.033.jpg;"Realizar uma inspeção de conformidade de produto;Documentar as ações de controle de qualidade;Acompanhamento de Inspeção;Abrir seleção de um produto não conforme;Registrar a conformidade de produtos.";Acompanhamento de Inspeção;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:36:16.000;117
Qual é o passo seguinte que o inspetor deve tomar após identificar por qual layout será responsável?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 118 - Rotina de início de turno.jpg;"Iniciar a inspeção imediatamente para não ocorrer atrasos;Comunicar ao departamento de recursos humanos;Relatar as ocorrências ao supervisor de produção;Alinhar com seu líder por onde deve iniciar as inspeções;Realizar a troca de turno com o inspetor do turno anterior";Realizar a troca de turno com o inspetor do turno anterior;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:36:50.000;118
O que deve acontecer se os colaboradores de um turno não conseguirem concluir a inspeção do layout?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 119 - Layout incompleto.jpg;"Devemos relatar ao líder para que ele verifique o que ocorreu;Devemos iniciar a inspeção pela primeira máquina do layout, afinal o atraso foi do turno anterior e não do nosso!;Iniciar a inspeção pela máquina seguinte à última máquina inspecionada pelo turno anterior.;Solicitar ajuda imediatamente ao técnico de CQ, afinal devem ter muitas peças para inspecionar e sozinho não conseguirei.;Nada!";Iniciar a inspeção pela máquina seguinte à última máquina inspecionada pelo turno anterior.;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:37:16.000;119
Quando o inspetor avalia o formulário de acompanhamento de inspeção do turno anterior e encontra um registro de ocorrência de ajuste de máquina que não foi corrigido, o que ele deve fazer?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 120 - Solictação de ajuste.jpg;"Ignorar o registro e seguir com as inspeções normalmente;Notificar à liderança imediatamente;Acompanhar com prioridade a máquina até o ajuste ser finalizado e a peça ficar ""OK"";Marcar como máquina em ajuste e não retornar mais para verificar se o ajuste foi finalizado;Realizar o ajuste da máquina no lugar do operador.";"Acompanhar com prioridade a máquina até o ajuste ser finalizado e a peça ficar ""OK""";-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:37:31.000;120
O que o inspetor deve fazer caso deixe cair uma peça ou encontre uma peça no chão da fábrica durante a seleção de amostras?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 121 - Peças encontradas no chão.jpg;"Ignorar a peça no chão e continuar a inspeção;Chamar a equipe de limpeza para que eles recolham a peça;Pegar a peça, verificar se é a peça da máquina e colocar no gabarito, afinal não podemos desperdiçar uma peça ""OK"" só porque ela caiu no chão;Pegar a peça e descartá-la na caixa de ""Peças Encontradas no Chão"" disponível nas bancadas;Relatar a ocorrência ao departamento de recursos humanos";"Pegar a peça e descartá-la na caixa de ""Peças Encontradas no Chão"" disponível nas bancadas";-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:37:52.000;121
O que o inspetor deve fazer ao concluir as inspeções?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 123 - Pasta verde.jpg;"Levar a pasta verde com os formulários para casa para poder treinar;Deixar a pasta verde na bancada de inspeção;Descartar os documentos no lixo;Entregar os formulários ao líder do turno ou ao técnico;Aproveitar o momento de tranquilidade para conversar com meus colegas.";Deixar a pasta verde na bancada de inspeção;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:38:17.000;122
O que os colaboradores NÃO devem fazer ao registrar informações nos documentos?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 124 - Correção de rasuras.jpg;"Usar o verso do crachá para correção de erros;Preencher todos os campos adequadamente;Utilizar caneta azul ou preta;Nenhuma das alternativas;Utilizar corretivos para fazer correções nos registros";Utilizar corretivos para fazer correções nos registros;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:38:43.000;123
Ao preencher o formulário de inspeção, o inspetor deve verificar diversos elementos. Qual dos seguintes itens NÃO faz parte das verificações que o inspetor deve realizar?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 125 - Conferência da ordem de produção.jpg;"Número do item;Bolagens a serem inspecionadas;Tamanho da letra usada no formulário;Meios de controle e liberação;Nenhuma das alternativas";Tamanho da letra usada no formulário;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:39:11.000;124
Quando o inspetor preenche o formulário de inspeção, quais itens ele deve verificar?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 126 - Conferência da ordem de produção2.jpg;"A cor do papel utilizado para inspeção, SEMPRE deve ser branco;A data de fabricação das peças inspecionadas;A temperatura da produção não pode ser superior a 36°C;O número do item, as bolagens a serem inspecionadas, os meios de controle de liberação e os instrumentos de medição;Nenhuma das alternativas";O número do item, as bolagens a serem inspecionadas, os meios de controle de liberação e os instrumentos de medição;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:39:38.000;125
O que o inspetor de qualidade deve fazer se chegar a uma máquina para iniciar uma inspeção e não encontrar um formulário de inspeção de produto?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 127 - Ausência de documento na pasta verde.jpg;"Ignorar a máquina e continuar a inspeção em outra;Solicitar o formulário na bancada da qualidade;Registrar o motivo da parada no formulário de acompanhamento;Esperar até o final do turno para inspecionar a máquina;Nenhuma das alternativas";Solicitar o formulário na bancada da qualidade;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:39:59.000;126
Como as não conformidades são definidas?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ID 128 - Não conformidade.jpg;"São provenientes apenas de produtos e equipamentos;São provenientes apenas de processos e dispositivos de medição;São provenientes de processos, produtos, equipamentos e dispositivos de medição;São provenientes apenas de requisitos não especificados;Nenhuma das alternativas";São provenientes de processos, produtos, equipamentos e dispositivos de medição;-;TREINAMENTO PADRONIZADO;"SEM1_CQ USI;";Larissa Cristofel - u129199;2023-11-25 16:40:28.000;127
